ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,TIPO_DE_CALLE,Calle,Dirección Normalizada,COMUNA,pos x,pos y,VICTIMA,ACUSADO,COMUNA_NOMBRE,COMUNA_POB,DIA_SEMANA_NUM,DIA_SEMANA_STR
2016-0058,1,2016-05-04,2016,5,4,14.0,CALLE,LIMA,LIMA 1471,1.0,-58.38247542,-34.62556293,PEATON,MOTO,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,2,Miércoles
2016-0059,1,2016-05-08,2016,5,8,16.0,CALLE,CIUDADELA,CIUDADELA y LIMA,1.0,-58.38222219,-34.62728101,PEATON,PASAJEROS,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,6,Domingo
2016-0064,1,2016-05-14,2016,5,14,18.0,AVENIDA,"JUSTO, JUAN B. AV.","JUSTO, JUAN B. AV. y CARRASCO AV.",10.0,-58.49485242,-34.62953445,PEATON,PASAJEROS,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sársfield, Villa Luro",171797.0,5,Sábado
2016-0065,1,2016-05-20,2016,5,20,14.0,AVENIDA,GAONA AV.,GAONA AV. y ESPINOSA,6.0,-58.45227946,-34.61068024,PEATON,AUTO,Caballito,203784.0,4,Viernes
2016-0067,1,2016-05-21,2016,5,21,17.0,AVENIDA,"DE LA TORRE, LISANDRO","DE LA TORRE, LISANDRO y SARAZA",8.0,-58.48455411,-34.6751276,MOTO,PASAJEROS,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,5,Sábado
2016-0068,1,2016-05-22,2016,5,22,22.0,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.","FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",2.0,-58.39056593,-34.58418569,MOTO,PASAJEROS,Recoleta,158368.0,6,Domingo
2016-0069,1,2016-05-23,2016,5,23,3.0,AVENIDA,ENTRE RIOS AV.,ENTRE RIOS AV. y FILIBERTO,3.0,-58.39118948,-34.62704273,AUTO,CARGAS,"San Cristóbal, Balvanera",236294.0,0,Lunes
2016-0073,1,2016-06-11,2016,6,11,15.0,CALLE,"MAGARI?OS CERVANTES, A.","MAGARIÃ‘OS CERVANTES, A. 3900",10.0,-58.49021952,-34.62025108,MOTO,CARGAS,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sársfield, Villa Luro",171797.0,5,Sábado
2016-0074,1,2016-06-12,2016,6,12,6.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y SCAPINO, RODOLFO",8.0,-58.49896559,-34.67732118,AUTO,AUTO,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,6,Domingo
2016-0075,1,2016-06-12,2016,6,12,23.0,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,8.0,-58.47461076,-34.66874679,PEATON,AUTO,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,6,Domingo
