ID_HECHO,FECHA,AAAA,MM,DD,HH,DIA_SEMANA_NUM,DIA_SEMANA_STR,N_VICTIMAS,ACUSADO,VICTIMA,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,COMUNA,COMUNA_NOMBRE,COMUNA_POB,TIPO_DE_CALLE,CALLE,DIRE_NOR,POSX,POSY
2016-0050,2016-04-19,2016,4,19,9.0,1,Martes,1,PASAJEROS,PEATON,PEATON,MASCULINO,78.0,2016-04-19,8.0,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,AVENIDA,"GORDILLO, TIMOTEO","GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",-58.47305463,-34.68550712
2016-0051,2016-04-20,2016,4,20,4.0,2,Miércoles,1,CARGAS,MOTO,CONDUCTOR,MASCULINO,36.0,2016-04-20,4.0,"Barracas, La Boca",230945.0,AVENIDA,"ALCORTA, AMANCIO AV.","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",-58.40623949,-34.65076549
2016-0052,2016-04-20,2016,4,20,20.0,2,Miércoles,1,,MOTO,CONDUCTOR,,,,13.0,"Núñez, Belgrano, Colegiales",265199.0,AUTOPISTA,"LUGONES, LEOPOLDO AV.",,,
2016-0053,2016-04-22,2016,4,22,9.0,4,Viernes,1,PASAJEROS,PEATON,PEATON,MASCULINO,38.0,2016-04-22,12.0,"Coghlan, Saavedra, Villa Urquiza, Villa Pueyrredón",236294.0,AVENIDA,TRIUNVIRATO AV.,TRIUNVIRATO AV. y OLAZABAL AV.,-58.4842918,-34.57558053
2016-0054,2016-04-23,2016,4,23,21.0,5,Sábado,1,MOTO,MOTO,CONDUCTOR,MASCULINO,30.0,2016-04-25,8.0,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",-58.48695354,-34.68795245
2016-0055,2016-04-25,2016,4,25,20.0,0,Lunes,1,CARGAS,PEATON,PEATON,MASCULINO,79.0,2016-04-28,14.0,Palermo,249016.0,AVENIDA,"CASTILLA, RAMON, MARISCAL","CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",-58.40021959,-34.57964781
2016-0056,2016-04-26,2016,4,26,4.0,1,Martes,1,OBJETO FIJO,MOTO,CONDUCTOR,MASCULINO,26.0,2016-04-26,14.0,Palermo,249016.0,AVENIDA,"CAMPOS, LUIS M. AV.","CAMPOS, LUIS M. AV. 30",-58.42957885,-34.57660058
2016-0058,2016-05-04,2016,5,4,14.0,2,Miércoles,1,MOTO,PEATON,PEATON,FEMENINO,57.0,2016-05-08,1.0,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,CALLE,LIMA,LIMA 1471,-58.38247542,-34.62556293
2016-0059,2016-05-08,2016,5,8,16.0,6,Domingo,1,PASAJEROS,PEATON,PEATON,MASCULINO,37.0,2016-05-26,1.0,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,CALLE,CIUDADELA,CIUDADELA y LIMA,-58.38222219,-34.62728101
2016-0064,2016-05-14,2016,5,14,18.0,5,Sábado,1,PASAJEROS,PEATON,PEATON,MASCULINO,20.0,,10.0,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sársfield, Villa Luro",171797.0,AVENIDA,"JUSTO, JUAN B. AV.","JUSTO, JUAN B. AV. y CARRASCO AV.",-58.49485242,-34.62953445
